Cruise,Station,Depth,Bottle,Timepoint,Treatment,Treatment_Btl,Hours,DOC_ave,DOC_sd,TOC_ave,TOC_sd,PTOC_ave,PTOC_sd,PDOC_ave,PDOC_sd
AT34,1,10,SA,18,Control,Control-A,2760,57.3,0.1,,,,,,
AT34,1,10,GF75,8,Control,Control-A,192,,,,,,,,
AT34,1,10,SB,0,Control,Control-B,0,53.8,0.2,,,,,,
AT34,1,10,SB,1,Control,Control-B,24,52.8,0.3,,,,,,
AT34,1,10,SB,2,Control,Control-B,48,,,,,,,,
AT34,1,10,SB,3,Control,Control-B,72,52.6,0.1,,,,,,
AT34,1,10,SB,4,Control,Control-B,96,,,,,,,,
AT34,1,10,SB,5,Control,Control-B,120,,,,,,,,
AT34,1,10,SB,6,Control,Control-B,144,51.6,0.5,,,,,,
AT34,1,10,SB,7,Control,Control-B,168,,,,,,,,
AT34,1,10,SB,8,Control,Control-B,192,51.6,0.5,,,,,,
AT34,1,10,SB,9,Control,Control-B,216,,,,,,,,
AT34,1,10,SB,10,Control,Control-B,240,,,,,,,,
AT34,1,10,SB,11,Control,Control-B,264,,,,,,,,
AT34,1,10,SB,12,Control,Control-B,312,52.2,0.7,,,,,,
AT34,1,10,SB,13,Control,Control-B,,,,,,,,,
AT34,1,10,SB,14,Control,Control-B,336,,,,,,,,
AT34,1,10,SB,15,Control,Control-B,408,50.7,,,,,,,
AT34,1,10,SB,16,Control,Control-B,1152,54.4,1.2,,,,,,
AT34,1,10,SB,17,Control,Control-B,1632,53.7,0.8,,,,,,
AT34,1,10,SB,18,Control,Control-B,2760,54,0.1,,,,,,
AT34,1,10,GF75,8,Control,Control-B,192,,,,,,,,
AT34,1,200,Niskin,0,,,0,,,,,,,,
AT34,1,200,GF75,0,,,0,,,,,,,,
AT34,1,200,DA,0,Control,Control-A,0,50.7,0.4,,,,,,
AT34,1,200,DA,1,Control,Control-A,24,49.9,1.3,,,,,,
AT34,1,200,DA,2,Control,Control-A,48,,,,,,,,
AT34,1,200,DA,3,Control,Control-A,72,49.4,0.2,,,,,,
AT34,1,200,DA,4,Control,Control-A,96,,,,,,,,
AT34,1,200,DA,5,Control,Control-A,120,,,,,,,,
AT34,1,200,DA,6,Control,Control-A,144,49.1,0.2,,,,,,
AT34,1,200,DA,7,Control,Control-A,168,,,,,,,,
AT34,1,200,DA,8,Control,Control-A,192,49.7,0.4,,,,,,
AT34,1,200,DA,9,Control,Control-A,216,,,,,,,,
AT34,1,200,DA,10,Control,Control-A,240,,,,,,,,
AT34,1,200,DA,11,Control,Control-A,264,,,,,,,,
AT34,1,200,DA,12,Control,Control-A,312,51.6,0.6,,,,,,
AT34,1,200,DA,13,Control,Control-A,,,,,,,,,
AT34,1,200,DA,14,Control,Control-A,336,,,,,,,,
AT34,1,200,DA,15,Control,Control-A,408,51.2,0.4,,,,,,
AT34,1,200,DA,16,Control,Control-A,1152,54.3,1.1,,,,,,
AT34,1,200,DA,17,Control,Control-A,1632,56.6,0.2,,,,,,
AT34,1,200,DA,18,Control,Control-A,2760,56.2,1.8,,,,,,
AT34,1,200,GF75,12,Control,Control-A,312,,,,,,,,
AT34,1,200,DB,0,Control,Control-B,0,48.8,0,,,,,,
AT34,1,200,DB,1,Control,Control-B,24,49.5,0.2,,,,,,
AT34,1,200,DB,2,Control,Control-B,48,,,,,,,,
AT34,1,200,DB,3,Control,Control-B,72,49.2,0.1,,,,,,
AT34,1,200,DB,4,Control,Control-B,96,,,,,,,,
AT34,1,200,DB,5,Control,Control-B,120,,,,,,,,
AT34,1,200,DB,6,Control,Control-B,144,50.6,1.3,,,,,,
AT34,1,200,DB,7,Control,Control-B,168,,,,,,,,
AT34,1,200,DB,8,Control,Control-B,192,51,1.5,,,,,,
AT34,1,200,DB,9,Control,Control-B,216,,,,,,,,
AT34,1,200,DB,10,Control,Control-B,240,,,,,,,,
AT34,1,200,DB,11,Control,Control-B,264,,,,,,,,
AT34,1,200,DB,12,Control,Control-B,312,51,0.3,,,,,,
AT34,1,200,DB,13,Control,Control-B,,,,,,,,,
