Cruise,Station,Depth,Bottle,Rep,Timepoint,Treatment,Treatment_Btl,ID,Hours,Days,BactN_µg,BactC_µg
AT39,4,10,B,1,9,Control,Control-B,AT39410B,,,1,8.6
AT39,4,10,B,2,9,Control,Control-B,AT39410B,,,0.1,2.9
AT39,4,10,Blank,1,0,,,AT39410Blank,,,0.1,5
AT39,4,10,Blank,2,0,,,AT39410Blank,,,0.1,2.7
AT39,4,10,Niskin,1,0,,,AT39410Niskin,,,0.2,4.8
AT39,4,10,Niskin,2,0,,,AT39410Niskin,,,0.1,2.7
AT39,2RD,10,A,1,7,Control,Control-A,AT392RD10A,,,4.1,23.2
AT39,2RD,10,A,2,7,Control,Control-A,AT392RD10A,,,0.5,4.9
AT39,2RD,10,B,1,7,Control,Control-B,AT392RD10B,,,4,19.5
AT39,2RD,10,B,2,7,Control,Control-B,AT392RD10B,,,0.2,3.1
AT39,2RD,10,Blank,1,0,,,AT392RD10Blank,,,0.3,4.6
AT39,2RD,10,Blank,2,0,,,AT392RD10Blank,,,0.1,3.2
AT39,2RD,10,Niskin,1,0,,,AT392RD10Niskin,,,1.4,8
AT39,2RD,10,Niskin,2,0,,,AT392RD10Niskin,,,0.6,4
AT39,2RF,10,A,1,7,Control,Control-A,AT392RF10A,,,2.7,16.8
AT39,2RF,10,A,2,7,Control,Control-A,AT392RF10A,,,0.2,3.6
AT39,2RF,10,B,1,7,Control,Control-B,AT392RF10B,,,5.5,16.4
AT39,2RF,10,B,2,7,Control,Control-B,AT392RF10B,,,0.3,3.4
AT39,2RF,10,Blank,1,0,,,AT392RF10Blank,,,0.9,6.5
AT39,2RF,10,Blank,2,0,,,AT392RF10Blank,,,0.2,3
AT39,2RF,10,Niskin,1,0,,,AT392RF10Niskin,,,0.8,6.3
AT39,2RF,10,Niskin,2,0,,,AT392RF10Niskin,,,0.3,3.2
AT39,U,10,A,1,4,Control,Control-A,AT39U10A,,,4.9,23.6
AT39,U,10,A,2,4,Control,Control-A,AT39U10A,,,0.5,7.2
AT39,U,10,B,1,4,Control,Control-B,AT39U10B,,,3.1,18.5
AT39,U,10,B,2,4,Control,Control-B,AT39U10B,,,0.5,7.4
AT39,U,10,Niskin,1,0,,,AT39U10Niskin,,,0.3,6.8
AT39,U,10,Niskin,2,0,,,AT39U10Niskin,,,0.1,4.2
