Cruise,Station,Depth,Bottle,Timepoint,Treatment,Treatment_Btl,Hours,cellsperL,sd_cellsperL,p_cellsperL,p_sdcellsperL
AT34,2,200,DA13,3,TW13,TW13-A,72,201703851,24563738,,
AT34,2,200,DA13,4,TW13,TW13-A,96,465160359,50851971,,
AT34,2,200,DA13,5,TW13,TW13-A,120,1083493106,92481492,,
AT34,2,200,DA13,6,TW13,TW13-A,144,1020611810,106828994,,
AT34,2,200,DA13,7,TW13,TW13-A,168,1485657002,146985527,,
AT34,2,200,DA13,8,TW13,TW13-A,192,1574416528,90792089,,
AT34,2,200,DA13,9,TW13,TW13-A,216,1114127584,84106588,,
AT34,2,200,DA13,10,TW13,TW13-A,264,1283611071,156787349,,
AT34,2,200,GF75,10,TW13,TW13-A,264,55786996,4444917,,
AT34,2,200,DB13,0,TW13,TW13-B,0,77807931,14244436,,
AT34,2,200,DB13,1,TW13,TW13-B,24,45655312,11684863,,
AT34,2,200,DB13,2,TW13,TW13-B,48,,,,
AT34,2,200,DB13,3,TW13,TW13-B,72,264524113,17846540,,
AT34,2,200,DB13,4,TW13,TW13-B,96,658543293,42866003,,
AT34,2,200,DB13,5,TW13,TW13-B,120,1386261301,109481721,,
AT34,2,200,DB13,6,TW13,TW13-B,144,1571649539,221666320,,
AT34,2,200,DB13,7,TW13,TW13-B,168,1786684084,204048211,,
AT34,2,200,DB13,8,TW13,TW13-B,192,1229101559,155394667,,
AT34,2,200,DB13,9,TW13,TW13-B,216,1389028290,102540482,,
AT34,2,200,DB13,10,TW13,TW13-B,264,1601778971,157734299,,
AT34,2,200,GF75,10,TW13,TW13-B,264,65116466,6568069,,
AT34,3,10,Niskin,0,,,0,1176523563,78009671,,
AT34,3,10,GF75,0,,,0,362927842,22490662,,
AT34,3,10,SA,0,Control,Control-A,0,421304686,61584248,,
AT34,3,10,SA,1,Control,Control-A,24,495290964,33972124,,
AT34,3,10,SA,2,Control,Control-A,48,402440297,25472946,,
AT34,3,10,SA,3,Control,Control-A,72,1616371784,162849538,,
AT34,3,10,SA,4,Control,Control-A,96,1533080003,124578235,,
AT34,3,10,SA,5,Control,Control-A,120,2172629406,233070188,,
AT34,3,10,SA,6,Control,Control-A,144,3735434644,200428432,,
AT34,3,10,SA,7,Control,Control-A,168,1582534197,120387455,,
AT34,3,10,SA,8,Control,Control-A,216,733240845,38030356,,
AT34,3,10,SA,9,Control,Control-A,240,555645340,75607695,,
AT34,3,10,SA,10,Control,Control-A,288,831709639,92321472,,
AT34,3,10,SA,11,Control,Control-A,312,765861943,45126347,,
AT34,3,10,SA,12,Control,Control-A,1032,,,,
